-0.52,0.83
-0.47,1.87
-0.42,3.18
-0.37,4.7
-0.32,6.42
-0.27,8.31
-0.22,10.37
-0.17,12.58
-0.12,14.93
-0.07,17.42
-0.02,20.03
0.03,22.77
0.08,25.63
0.13,28.6
0.18,31.69
0.23,34.88
0.28,38.18
0.33,41.57
0.38,45.07
0.43,48.66
0.48,52.34
0.53,56.12
0.58,59.99
0.63,63.94
0.68,67.99
0.73,72.11
0.78,76.32
0.83,80.61
0.88,84.98
0.93,89.43
0.98,93.96
1.03,98.57
1.08,103.25
1.13,108
1.18,112.83
1.23,117.73
1.28,122.7
1.33,127.74
1.38,132.86
1.43,138.04
1.48,143.29
1.53,148.6
1.58,153.98
1.63,159.43
1.68,164.95
1.73,170.52
1.78,176.17
1.83,181.87
1.88,187.64
1.93,193.47
1.98,199.36
2.03,205.31
2.08,211.32
2.13,217.39
2.18,223.52
2.23,229.71
2.28,235.95
2.33,242.26
2.38,248.62
2.43,255.03
2.48,261.51
2.53,268.04
2.58,274.62
2.63,281.26
2.68,287.96
2.73,294.71
2.78,301.51
2.83,308.36
2.88,315.27
2.93,322.23
2.98,329.25
3.03,336.31
3.08,343.43
3.13,350.6
3.18,357.82
3.23,365.09
3.28,372.41
3.33,379.78
3.38,387.2
3.43,394.67
3.48,402.19
3.53,409.76
3.58,417.37
3.63,425.04
3.68,432.75
3.73,440.51
3.78,448.32
3.83,456.17
3.88,464.07
3.93,472.02
3.98,480.02
4.03,488.06
4.08,496.14
4.13,504.28
4.18,512.46
4.23,520.68
4.28,528.95
4.33,537.26
4.38,545.62
4.43,554.02
4.48,562.47
4.53,570.96
4.58,579.5
4.63,588.07
4.68,596.7
4.73,605.36
4.78,614.07
4.83,622.82
4.88,631.61
4.93,640.45
4.98,649.33
5.03,658.25
5.08,667.21
5.13,676.21
5.18,685.26
5.23,694.35
5.28,703.48
5.33,712.64
5.38,721.85
5.43,731.11
5.48,740.4
5.53,749.73
5.58,759.1
5.63,768.51
5.68,777.97
5.73,787.46
5.78,796.99
5.83,806.56
5.88,816.17
5.93,825.82
5.98,835.51
6.03,845.24
6.08,855
6.13,864.81
6.18,874.65
6.23,884.54
6.28,894.46
6.33,904.41
6.38,914.41
6.43,924.45
6.48,934.52
6.53,944.63
6.58,954.78
6.63,964.96
6.68,975.18
6.73,985.44
6.78,995.74
6.83,1006.07
6.88,1016.44
6.93,1026.85
6.98,1037.29
7.03,1047.77
7.08,1058.28
7.13,1068.83
7.18,1079.42
7.23,1090.05
7.28,1100.71
7.33,1111.4
7.38,1122.13
7.43,1132.9
7.48,1143.7
