Datetime,P00010
202208300000,0.193
202208300030,0.2
202208300100,0.2
202208300130,0.2
202208300200,0.2
202208300230,0.2
202208300300,0.2
202208300330,0.2
202208300400,0.2
202208300430,0.2
202208300500,0.2
202208300530,0.2
202208300600,0.2
202208300630,0.2
202208300700,0.2
202208300730,0.2
202208300800,0.2
202208300830,0.2
202208300900,0.2
202208300930,0.2
202208301000,0.2
202208301030,0.2
202208301100,0.2
202208301130,0.2
202208301200,0.2
202208301230,0.2
202208301300,0.2
202208301330,0.2
202208301400,0.2
202208301430,0.2
202208301500,0.2
202208301530,0.2
202208301600,0.2
202208301630,0.2
202208301700,0.2
202208301730,0.2
202208301800,0.2
202208301830,0.2
202208301900,0.2
202208301930,0.2
202208302000,0.2
202208302030,0.2
202208302100,0.2
202208302130,0.2
202208302200,0.2
202208302230,0.2
202208302300,0.2
202208302330,0.2
202208310000,0.2
202208310030,0.504
202208310100,0.504
202208310130,0.504
202208310200,0.504
202208310230,0.504
202208310300,0.504
202208310330,0.504
202208310400,0.504
202208310430,0.504
202208310500,0.504
202208310530,0.504
202208310600,0.504
202208310630,0.504
202208310700,0.504
202208310730,0.504
202208310800,0.504
202208310830,0.504
202208310900,0.504
202208310930,0.504
202208311000,0.504
202208311030,0.504
202208311100,0.504
202208311130,0.504
202208311200,0.504
202208311230,0.504
202208311300,0.504
202208311330,0.504
202208311400,0.504
202208311430,0.504
202208311500,0.504
202208311530,0.504
202208311600,0.504
202208311630,0.504
202208311700,0.504
202208311730,0.504
202208311800,0.504
202208311830,0.504
202208311900,0.504
202208311930,0.504
202208312000,0.504
202208312030,0.504
202208312100,0.504
202208312130,0.504
202208312200,0.504
202208312230,0.504
202208312300,0.504
202208312330,0.504
202209010000,0.504
202209010030,0.504
202209010100,0.504
202209010130,0.504
202209010200,0.504
202209010230,0.504
202209010300,0.504
202209010330,0.504
202209010400,0.504
202209010430,0.504
202209010500,0.504
202209010530,0.504
202209010600,0.504
202209010630,0.504
202209010700,0.504
202209010730,0.504
202209010800,0.504
202209010830,0.504
202209010900,0.504
202209010930,0.504
202209011000,0.504
202209011030,0.504
202209011100,0.504
202209011130,0.504
202209011200,0.504
202209011230,0.504
202209011300,0.504
202209011330,0.504
202209011400,0.504
202209011430,0.504
202209011500,0.504
202209011530,0.504
202209011600,0.504
202209011630,0.504
202209011700,0.504
202209011730,0.504
202209011800,0.504
202209011830,0.504
202209011900,0.504
202209011930,0.504
202209012000,0.504
202209012030,0.504
202209012100,0.504
202209012130,0.504
202209012200,0.504
