         0      21     17
        0.12         0.12         0.12         0.11         0.12         0.11         0.11         0.11         0.11         0.12         0.13         0.12         0.13         0.14         0.14         0.14         0.16         0.17         0.16         0.16         0.14
        0.13         0.13         0.12         0.12         0.11         0.11         0.11         0.12         0.12         0.13         0.13         0.12         0.13         0.13         0.13         0.13         0.16         0.16         0.16         0.16         0.14
        0.13         0.12         0.12         0.11         0.12         0.11         0.13         0.14         0.13         0.14         0.14         0.13         0.13         0.13         0.13         0.14         0.16         0.15         0.15         0.16         0.16
        0.13         0.12         0.11         0.11         0.13         0.11         0.14         0.15         0.14         0.14         0.15         0.14         0.14         0.13         0.13         0.15         0.16         0.15         0.15         0.16         0.15
        0.12         0.12         0.11         0.11         0.13         0.11         0.16         0.17         0.16         0.16         0.16         0.15         0.14         0.13         0.13         0.14         0.15         0.15         0.15         0.16         0.15
        0.10         0.10         0.11         0.11         0.11         0.12         0.17         0.18         0.17         0.18         0.18         0.16         0.13         0.13         0.15         0.15         0.15         0.14         0.15         0.16         0.16
        0.08         0.08         0.09         0.10         0.12         0.12         0.15         0.16         0.15         0.16         0.16         0.14         0.12         0.15         0.16         0.15         0.15         0.14         0.15         0.16         0.16
        0.08         0.08         0.09         0.10         0.12         0.14         0.15         0.15         0.14         0.13         0.14         0.14         0.13         0.13         0.16         0.14         0.14         0.15         0.14         0.13         0.13
        0.10         0.09         0.09         0.10         0.12         0.14         0.12         0.13         0.13         0.13         0.14         0.15         0.13         0.15         0.14         0.14         0.15         0.15         0.14         0.14         0.14
        0.12         0.12         0.12         0.13         0.12         0.14         0.12         0.12         0.11         0.10         0.11         0.11         0.11         0.15         0.15         0.15         0.16         0.17         0.17         0.15         0.15
        0.14         0.14         0.13         0.13         0.12         0.13         0.12         0.11         0.10         0.12         0.13         0.12         0.13         0.15         0.16         0.16         0.17         0.18         0.19         0.18         0.16
        0.14         0.14         0.14         0.13         0.12         0.13         0.11         0.11         0.12         0.13         0.14         0.13         0.14         0.17         0.17         0.18         0.19         0.19         0.20         0.20         0.20
        0.13         0.13         0.13         0.13         0.13         0.12         0.11         0.12         0.13         0.14         0.15         0.14         0.15         0.17         0.16         0.18         0.19         0.19         0.20         0.20         0.21
        0.13         0.13         0.13         0.12         0.13         0.12         0.13         0.14         0.15         0.16         0.18         0.17         0.16         0.16         0.15         0.16         0.17         0.19         0.20         0.20         0.21
        0.14         0.13         0.14         0.14         0.13         0.14         0.15         0.15         0.16         0.17         0.19         0.21         0.18         0.18         0.17         0.17         0.17         0.19         0.19         0.19         0.19
        0.14         0.13         0.12         0.13         0.14         0.15         0.16         0.15         0.17         0.19         0.19         0.19         0.18         0.16         0.17         0.17         0.17         0.18         0.19         0.18         0.17
        0.14         0.14         0.14         0.14         0.14         0.15         0.18         0.20         0.20         0.20         0.19         0.19         0.18         0.09         0.16         0.18         0.17         0.19         0.20         0.19         0.19
    345600      21     17
        0.16         0.17         0.16         0.16         0.16         0.15         0.17         0.18         0.18         0.18         0.17         0.14         0.16         0.17         0.15         0.13         0.14         0.14         0.15         0.14         0.13
        0.16         0.16         0.19         0.17         0.16         0.15         0.17         0.18         0.18         0.18         0.17         0.15         0.15         0.17         0.14         0.14         0.14         0.15         0.15         0.14         0.15
        0.15         0.15         0.17         0.17         0.16         0.15         0.16         0.18         0.17         0.16         0.16         0.15         0.15         0.16         0.13         0.16         0.17         0.15         0.14         0.15         0.16
        0.14         0.15         0.14         0.15         0.16         0.14         0.16         0.18         0.17         0.17         0.17         0.16         0.16         0.16         0.14         0.18         0.17         0.15         0.16         0.17         0.16
        0.14         0.14         0.13         0.13         0.15         0.14         0.17         0.18         0.18         0.18         0.19         0.17         0.16         0.14         0.15         0.16         0.16         0.16         0.17         0.18         0.15
        0.14         0.13         0.14         0.13         0.12         0.15         0.17         0.18         0.18         0.18         0.17         0.18         0.14         0.14         0.15         0.15         0.15         0.14         0.15         0.15         0.16
        0.13         0.13         0.13         0.13         0.14         0.15         0.16         0.17         0.16         0.16         0.17         0.15         0.14         0.15         0.15         0.14         0.12         0.12         0.14         0.14         0.14
        0.15         0.14         0.15         0.14         0.15         0.16         0.17         0.17         0.17         0.16         0.16         0.14         0.14         0.14         0.14         0.12         0.13         0.12         0.10         0.10         0.12
        0.17         0.17         0.17         0.17         0.18         0.17         0.17         0.20         0.20         0.18         0.18         0.17         0.14         0.15         0.15         0.13         0.14         0.13         0.12         0.11         0.11
        0.17         0.19         0.20         0.20         0.19         0.18         0.18         0.20         0.18         0.17         0.17         0.15         0.13         0.17         0.16         0.15         0.16         0.16         0.14         0.13         0.11
        0.16         0.17         0.20         0.21         0.19         0.20         0.19         0.19         0.18         0.18         0.19         0.17         0.14         0.16         0.16         0.15         0.18         0.17         0.16         0.14         0.12
        0.14         0.16         0.18         0.19         0.21         0.22         0.18         0.19         0.20         0.20         0.17         0.14         0.15         0.17         0.16         0.16         0.18         0.18         0.16         0.15         0.14
        0.13         0.15         0.16         0.16         0.21         0.22         0.18         0.20         0.21         0.20         0.18         0.14         0.16         0.17         0.15         0.16         0.16         0.16         0.15         0.14         0.14
        0.10         0.14         0.14         0.15         0.18         0.21         0.21         0.21         0.21         0.21         0.20         0.17         0.17         0.16         0.14         0.14         0.14         0.15         0.14         0.14         0.13
        0.08         0.10         0.14         0.15         0.17         0.20         0.21         0.19         0.20         0.21         0.20         0.19         0.19         0.16         0.14         0.14         0.14         0.15         0.15         0.14         0.14
        0.07         0.08         0.10         0.13         0.16         0.19         0.20         0.18         0.19         0.21         0.20         0.19         0.17         0.14         0.15         0.15         0.14         0.16         0.16         0.15         0.14
        0.06         0.07         0.09         0.12         0.15         0.16         0.19         0.20         0.21         0.22         0.21         0.19         0.18         0.07         0.15         0.16         0.15         0.16         0.17         0.17         0.17
    432000      21     17
        0.16         0.15         0.14         0.14         0.15         0.12         0.12         0.13         0.15         0.16         0.15         0.13         0.16         0.15         0.15         0.16         0.17         0.16         0.15         0.15         0.15
        0.17         0.15         0.15         0.15         0.14         0.12         0.13         0.14         0.15         0.15         0.15         0.13         0.15         0.15         0.15         0.16         0.17         0.15         0.14         0.14         0.15
        0.15         0.15         0.14         0.14         0.13         0.12         0.14         0.15         0.15         0.15         0.13         0.13         0.13         0.14         0.13         0.16         0.16         0.15         0.14         0.15         0.16
        0.14         0.14         0.13         0.12         0.14         0.12         0.14         0.15         0.15         0.14         0.12         0.12         0.11         0.12         0.12         0.14         0.16         0.15         0.15         0.15         0.15
        0.14         0.14         0.12         0.12         0.15         0.13         0.15         0.15         0.14         0.13         0.12         0.11         0.10         0.11         0.11         0.13         0.15         0.16         0.16         0.15         0.14
        0.12         0.11         0.12         0.12         0.14         0.14         0.15         0.15         0.14         0.14         0.13         0.12         0.11         0.11         0.12         0.14         0.15         0.16         0.16         0.15         0.14
        0.10         0.09         0.10         0.12         0.14         0.14         0.14         0.15         0.14         0.14         0.13         0.13         0.11         0.13         0.14         0.14         0.15         0.15         0.15         0.15         0.14
        0.09         0.09         0.11         0.12         0.13         0.14         0.15         0.15         0.15         0.14         0.14         0.14         0.13         0.15         0.16         0.14         0.15         0.14         0.13         0.13         0.13
        0.10         0.11         0.13         0.15         0.14         0.15         0.14         0.16         0.16         0.16         0.16         0.16         0.15         0.16         0.16         0.16         0.16         0.15         0.14         0.13         0.12
        0.12         0.13         0.16         0.17         0.16         0.15         0.16         0.16         0.15         0.15         0.15         0.14         0.12         0.17         0.17         0.17         0.17         0.17         0.16         0.14         0.13
        0.13         0.14         0.17         0.17         0.16         0.17         0.16         0.16         0.15         0.15         0.16         0.15         0.13         0.17         0.17         0.17         0.17         0.17         0.16         0.15         0.13
        0.12         0.13         0.16         0.17         0.17         0.17         0.15         0.15         0.16         0.16         0.15         0.13         0.14         0.18         0.17         0.18         0.17         0.16         0.16         0.14         0.13
        0.10         0.12         0.13         0.14         0.18         0.17         0.15         0.15         0.16         0.16         0.15         0.13         0.14         0.16         0.15         0.16         0.16         0.15         0.14         0.12         0.13
        0.11         0.10         0.12         0.13         0.16         0.17         0.16         0.16         0.15         0.16         0.16         0.14         0.14         0.13         0.13         0.13         0.13         0.13         0.12         0.12         0.12
        0.13         0.12         0.12         0.14         0.15         0.17         0.17         0.15         0.15         0.14         0.14         0.13         0.13         0.13         0.13         0.13         0.13         0.13         0.12         0.11         0.12
        0.15         0.13         0.12         0.13         0.15         0.17         0.17         0.15         0.14         0.14         0.13         0.12         0.12         0.11         0.13         0.13         0.13         0.13         0.13         0.12         0.11
        0.16         0.13         0.12         0.13         0.14         0.15         0.16         0.16         0.16         0.15         0.13         0.12         0.12         0.06         0.12         0.13         0.13         0.14         0.14         0.13         0.14
    518400      21     17
        0.08         0.10         0.12         0.13         0.13         0.11         0.11         0.11         0.11         0.13         0.14         0.13         0.14         0.14         0.13         0.12         0.12         0.12         0.12         0.12         0.12
        0.09         0.11         0.14         0.16         0.13         0.12         0.12         0.13         0.13         0.14         0.15         0.14         0.14         0.15         0.13         0.13         0.13         0.13         0.14         0.14         0.13
        0.10         0.13         0.15         0.15         0.15         0.12         0.13         0.14         0.15         0.15         0.15         0.15         0.14         0.15         0.13         0.15         0.15         0.13         0.14         0.15         0.15
        0.12         0.14         0.15         0.14         0.16         0.13         0.15         0.15         0.16         0.17         0.17         0.16         0.15         0.15         0.13         0.15         0.16         0.14         0.15         0.16         0.15
        0.13         0.14         0.14         0.14         0.17         0.13         0.17         0.18         0.18         0.19         0.19         0.17         0.16         0.15         0.14         0.15         0.16         0.16         0.16         0.16         0.16
        0.11         0.12         0.14         0.14         0.15         0.15         0.18         0.20         0.20         0.20         0.18         0.17         0.15         0.16         0.16         0.16         0.15         0.15         0.16         0.17         0.17
        0.10         0.10         0.11         0.14         0.15         0.16         0.18         0.20         0.19         0.18         0.19         0.17         0.15         0.18         0.17         0.17         0.15         0.15         0.16         0.17         0.16
        0.09         0.10         0.13         0.14         0.15         0.18         0.19         0.20         0.19         0.19         0.19         0.19         0.16         0.19         0.17         0.16         0.17         0.17         0.15         0.13         0.13
        0.09         0.10         0.13         0.16         0.16         0.18         0.18         0.19         0.20         0.20         0.20         0.20         0.17         0.18         0.17         0.16         0.18         0.16         0.14         0.14         0.14
        0.10         0.11         0.14         0.15         0.16         0.18         0.18         0.20         0.17         0.16         0.16         0.16         0.12         0.19         0.17         0.16         0.18         0.18         0.16         0.15         0.14
        0.10         0.11         0.15         0.15         0.15         0.18         0.17         0.18         0.17         0.17         0.18         0.17         0.14         0.18         0.17         0.17         0.17         0.17         0.17         0.17         0.15
        0.10         0.12         0.16         0.14         0.16         0.17         0.15         0.16         0.18         0.19         0.17         0.14         0.15         0.19         0.17         0.18         0.18         0.18         0.18         0.18         0.16
        0.11         0.13         0.14         0.12         0.15         0.16         0.14         0.15         0.17         0.18         0.16         0.14         0.16         0.18         0.16         0.17         0.17         0.17         0.18         0.18         0.18
        0.11         0.11         0.12         0.11         0.13         0.15         0.15         0.15         0.16         0.17         0.18         0.17         0.17         0.16         0.14         0.15         0.15         0.17         0.18         0.18         0.19
        0.10         0.10         0.11         0.12         0.12         0.15         0.15         0.15         0.15         0.17         0.18         0.17         0.17         0.16         0.15         0.15         0.16         0.17         0.18         0.18         0.18
        0.09         0.08         0.09         0.10         0.13         0.15         0.16         0.14         0.16         0.18         0.18         0.18         0.16         0.14         0.16         0.16         0.16         0.17         0.18         0.17         0.16
        0.09         0.07         0.07         0.09         0.12         0.13         0.16         0.17         0.17         0.18         0.18         0.17         0.17         0.07         0.14         0.16         0.15         0.17         0.18         0.17         0.18
    604800      21     17
        0.10         0.10         0.10         0.08         0.07         0.06         0.05         0.04         0.04         0.05         0.06         0.07         0.08         0.09         0.10         0.10         0.10         0.09         0.10         0.12         0.13
        0.10         0.10         0.10         0.09         0.07         0.06         0.05         0.05         0.05         0.06         0.07         0.08         0.09         0.10         0.10         0.11         0.10         0.09         0.10         0.12         0.12
        0.10         0.10         0.10         0.10         0.08         0.07         0.07         0.07         0.09         0.10         0.10         0.10         0.11         0.12         0.11         0.13         0.12         0.11         0.12         0.13         0.14
        0.11         0.11         0.10         0.10         0.09         0.09         0.09         0.10         0.11         0.12         0.12         0.12         0.13         0.13         0.13         0.14         0.14         0.13         0.14         0.15         0.14
        0.12         0.11         0.11         0.11         0.11         0.10         0.11         0.12         0.13         0.14         0.14         0.13         0.14         0.13         0.14         0.14         0.15         0.15         0.15         0.16         0.15
        0.12         0.12         0.12         0.12         0.13         0.12         0.13         0.14         0.15         0.15         0.14         0.14         0.13         0.13         0.14         0.14         0.14         0.14         0.15         0.16         0.17
        0.13         0.12         0.13         0.14         0.14         0.15         0.15         0.16         0.16         0.15         0.15         0.12         0.11         0.13         0.15         0.15         0.13         0.13         0.15         0.17         0.17
        0.14         0.13         0.13         0.14         0.15         0.16         0.17         0.17         0.16         0.15         0.15         0.15         0.13         0.14         0.14         0.13         0.14         0.13         0.13         0.15         0.15
        0.13         0.13         0.14         0.14         0.15         0.16         0.15         0.17         0.17         0.16         0.15         0.16         0.12         0.14         0.15         0.14         0.15         0.15         0.14         0.13         0.13
        0.13         0.12         0.13         0.15         0.13         0.15         0.14         0.16         0.15         0.14         0.13         0.11         0.10         0.16         0.15         0.15         0.16         0.16         0.16         0.14         0.13
        0.16         0.16         0.15         0.15         0.13         0.14         0.13         0.14         0.13         0.14         0.14         0.13         0.12         0.15         0.15         0.15         0.17         0.17         0.17         0.16         0.14
        0.15         0.16         0.16         0.16         0.16         0.15         0.13         0.14         0.15         0.15         0.14         0.13         0.13         0.17         0.16         0.17         0.18         0.18         0.18         0.18         0.17
        0.13         0.14         0.16         0.16         0.17         0.17         0.15         0.16         0.16         0.17         0.15         0.13         0.15         0.17         0.15         0.16         0.17         0.17         0.18         0.18         0.19
        0.12         0.13         0.15         0.16         0.17         0.18         0.16         0.18         0.17         0.17         0.17         0.15         0.15         0.15         0.14         0.15         0.15         0.17         0.18         0.18         0.19
        0.13         0.14         0.14         0.17         0.17         0.18         0.18         0.17         0.17         0.17         0.17         0.16         0.16         0.16         0.15         0.15         0.15         0.17         0.18         0.18         0.19
        0.13         0.12         0.13         0.15         0.17         0.18         0.18         0.16         0.17         0.18         0.18         0.17         0.16         0.15         0.16         0.15         0.14         0.16         0.18         0.17         0.17
        0.14         0.12         0.11         0.12         0.16         0.16         0.18         0.18         0.18         0.18         0.18         0.17         0.17         0.10         0.15         0.16         0.14         0.17         0.18         0.17         0.19
    691200      21     17
        0.16         0.15         0.14         0.14         0.15         0.13         0.14         0.13         0.12         0.11         0.10         0.09         0.11         0.12         0.12         0.11         0.10         0.09         0.08         0.09         0.08
        0.17         0.15         0.16         0.14         0.14         0.12         0.13         0.13         0.11         0.10         0.10         0.09         0.11         0.12         0.12         0.11         0.11         0.10         0.09         0.10         0.08
        0.15         0.15         0.15         0.13         0.13         0.12         0.12         0.12         0.12         0.11         0.10         0.10         0.11         0.12         0.11         0.12         0.12         0.11         0.11         0.11         0.10
        0.16         0.15         0.13         0.11         0.13         0.11         0.12         0.13         0.13         0.12         0.11         0.10         0.11         0.12         0.11         0.13         0.13         0.12         0.13         0.13         0.11
        0.16         0.15         0.13         0.11         0.13         0.11         0.13         0.13         0.14         0.14         0.12         0.11         0.11         0.12         0.12         0.13         0.13         0.13         0.14         0.14         0.12
        0.16         0.15         0.15         0.12         0.12         0.12         0.13         0.14         0.15         0.15         0.13         0.12         0.11         0.12         0.13         0.13         0.12         0.12         0.13         0.13         0.12
        0.16         0.15         0.14         0.13         0.13         0.12         0.12         0.13         0.13         0.13         0.13         0.12         0.11         0.13         0.15         0.13         0.11         0.12         0.13         0.13         0.12
        0.16         0.15         0.16         0.14         0.14         0.13         0.12         0.12         0.11         0.12         0.13         0.13         0.12         0.13         0.14         0.11         0.13         0.14         0.12         0.12         0.13
        0.16         0.15         0.14         0.14         0.15         0.15         0.12         0.13         0.13         0.13         0.14         0.14         0.12         0.13         0.14         0.12         0.13         0.12         0.12         0.13         0.12
        0.15         0.15         0.15         0.17         0.15         0.15         0.14         0.14         0.12         0.11         0.12         0.12         0.09         0.15         0.14         0.14         0.14         0.14         0.14         0.13         0.12
        0.15         0.15         0.14         0.14         0.13         0.15         0.14         0.13         0.12         0.12         0.13         0.13         0.11         0.15         0.14         0.13         0.14         0.14         0.15         0.15         0.12
        0.12         0.12         0.12         0.12         0.12         0.14         0.12         0.12         0.13         0.13         0.12         0.11         0.12         0.15         0.14         0.13         0.14         0.15         0.16         0.16         0.14
        0.10         0.09         0.10         0.10         0.12         0.12         0.11         0.11         0.12         0.13         0.12         0.10         0.12         0.14         0.13         0.13         0.14         0.15         0.16         0.16         0.16
        0.08         0.08         0.09         0.10         0.10         0.11         0.11         0.11         0.12         0.13         0.14         0.12         0.13         0.12         0.11         0.12         0.13         0.15         0.16         0.16         0.16
        0.08         0.08         0.09         0.11         0.11         0.11         0.10         0.09         0.10         0.12         0.13         0.13         0.14         0.13         0.12         0.13         0.13         0.15         0.16         0.16         0.17
        0.07         0.08         0.07         0.10         0.10         0.11         0.10         0.08         0.10         0.11         0.12         0.12         0.13         0.11         0.13         0.13         0.13         0.15         0.16         0.16         0.17
        0.07         0.06         0.07         0.08         0.09         0.10         0.10         0.10         0.11         0.12         0.12         0.11         0.12         0.08         0.12         0.13         0.12         0.15         0.17         0.17         0.18
    777600      21     17
        0.15         0.15         0.14         0.13         0.14         0.12         0.12         0.10         0.09         0.09         0.10         0.10         0.08         0.07         0.07         0.08         0.09         0.10         0.12         0.12         0.11
        0.14         0.15         0.14         0.14         0.13         0.12         0.10         0.09         0.09         0.10         0.11         0.11         0.11         0.09         0.08         0.09         0.11         0.11         0.12         0.12         0.12
        0.14         0.15         0.15         0.14         0.13         0.12         0.10         0.10         0.09         0.10         0.12         0.13         0.13         0.12         0.10         0.11         0.12         0.12         0.12         0.11         0.11
        0.14         0.15         0.14         0.13         0.12         0.12         0.11         0.10         0.10         0.11         0.12         0.14         0.14         0.13         0.12         0.13         0.12         0.12         0.11         0.10         0.10
        0.14         0.15         0.13         0.13         0.12         0.11         0.12         0.11         0.12         0.12         0.13         0.14         0.15         0.13         0.13         0.12         0.12         0.11         0.10         0.10         0.10
        0.14         0.14         0.15         0.13         0.12         0.13         0.14         0.13         0.13         0.14         0.15         0.14         0.14         0.13         0.12         0.12         0.11         0.10         0.11         0.11         0.11
        0.13         0.13         0.14         0.14         0.13         0.15         0.14         0.14         0.13         0.14         0.15         0.13         0.13         0.13         0.13         0.10         0.09         0.09         0.10         0.12         0.13
        0.13         0.14         0.15         0.15         0.15         0.16         0.16         0.16         0.14         0.14         0.15         0.14         0.14         0.11         0.10         0.08         0.08         0.08         0.10         0.12         0.12
        0.14         0.15         0.15         0.15         0.16         0.17         0.15         0.15         0.15         0.15         0.15         0.14         0.12         0.12         0.10         0.09         0.09         0.10         0.10         0.11         0.11
        0.14         0.16         0.15         0.16         0.15         0.17         0.15         0.16         0.13         0.12         0.13         0.11         0.09         0.13         0.09         0.10         0.10         0.11         0.11         0.11         0.10
